date,description,latitude,longitude,location,sources,time,Comments,category,New
2022-02-27,"Date of discovery: 27 February 2022
 Province: Moscow Oblast  
Country/Town/Village: Volokolamsk

In the Moscow region, one of the TACs for refugees is located in Volokolamsk, near the Panfilov's 28 Men monument. As of 06 February 2023, 108 people lived in the camp, of which 43 were children.

More details on a visit from United Russia Party officials at the camp where 125 children lived as of February 27 2022 [here](https://moscow.er.ru/activity/news/senator-inna-svyatenko-privezla-gumanitarnuyu-pomosh-dlya-bezhencev-iz-dnr-i-lnr-razmeshennyh-v-volokolamske). 

The location of this camp is better indexed by [Yandex](https://yandex.com/profile/1090139579?no-distribution=1&source=wizbiz_new_map_single).",55.985247,36.024478, Moscow Oblast    Volokolamsk,['sources46'],00:00,,POW and Internment camps,
2022-03-01,"Date of discovery: 01 March 2022 
Province: Moscow Oblast 
Country/Town/Village: Podolsk,  Lukovnya Village 

In the Moscow region, one of the TACs for refugees is located in Podolsk, Lukovnya Village, and is named ""Mechta"" (Dream). Information about the arrival of the first convoy of buses from Donbass carrying children and women [here](https://360tv.ru/news/mosobl/bezhentsy-iz-donbassa-pribyli-v-podolsk-deti-v-lagere-uzhe-podruzhilis/). 

According to [360tv.ru](https://360tv.ru/news/mosobl/podmoskove-uvelichilo-kolichestvo-punktov-vremennogo-razmeschenija-dlja-zhitelej-donbassa-i-belgoroda/), as of  end-2022, there were 12 TACs in the Moscow region receiving refugees from Donbass and Belgorod.

The location of this camp is better indexed by [Yandex](https://bit.ly/3K9vHED).",55.449372,37.431943," Moscow Oblast   Podolsk,  Lukovnya Village ",['sources49'],00:00,,POW and Internment camps,
2022-03-17,"Date of discovery: 17 March 2022
Province: Donetsk Oblast
City/Town/Village: Manhush

Local residents obliged to pass ""filtration"" at former Manhush police station (63 Tytova Street - now used by Ministry of Internal Affairs of self-proclaimed DNR) or at nearby checkpoint in order to obtain right of free movement in the region; people could be held for 1-2 days in overcrowded cells and have described beatings and insufficient food.",47.056505,37.311064, Donetsk Oblast  Manhush,['sources32'],00:00,,POW and Internment camps,
2022-03-24,"Date of dicovery: 24 March 2022

Russia claims to have 'evacuated' 402,000 Ukrainians to Russia, including 84,000 children. This ""evacuation"" is being assessed as being a forcible transfer of people including children to Russia through harsh filtration camps. Source - Verkhovna Rada Commissioner for Human Rights Lyudmyla Denisova.",52.709151,37.939213,,['sources2'],00:00,,POW and Internment camps,
2022-03-30,"Date of discovery: 30 March 2022 
Province: Kaluga Region 
Country/Town/Village: Mstikhino 

""Vityaz"" Health Camp is one of four TACs operating in the region.",54.560009,36.117271, Kaluga Region   Mstikhino ,['sources90'],00:00,,POW and Internment camps,
2022-03-30,"Date of discovery: 30 March 2022 
Province: Kaluga Region 
Country/Town/Village: Gorenskoe 

""Star"" (Звёздный) Health Camp is one of four TACs operating in the region.",54.414074,36.114346, Kaluga Region   Gorenskoe ,['sources91'],00:00,,POW and Internment camps,
2022-03-30,"Date of discovery: 30 March 2022 
Province: Kaluga Region 
Country/Town/Village: Lyudinovsky 

""Sputnik"" Health Camp is one of four TACs operating in the region.",53.883742,34.409707, Kaluga Region   Lyudinovsky ,['sources93'],00:00,,POW and Internment camps,
2022-03-30,"Date of discovery: 30 March 2022 
Province: Kaluga Region 
Country/Town/Village: Zhukovsky district 

""Galaktika"" Health Camp is one of four TACs operating in the region.",54.968363,36.770613, Kaluga Region   Zhukovsky district ,['sources92'],00:00,,POW and Internment camps,
2022-04-01,"Date of discovery: 01 April 2022
Province: Kyiv Oblast,
City/Town/Village: Katiuzhanka

Armed Forces of Ukraine liberated the entire Kyiv Oblast, including Katiuzhanka. The school was used as an HQ for the Russian military to command attacks towards Kyiv and  as a torture chamber by Russian interrogators for POWs and Ukrainian civilians.",50.805561,30.137348," Kyiv Oblast,  Katiuzhanka",['sources9'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022 
Province: Chuvash Republic 
Country/Town/Village: Cheboksary district, Vurmankasy village.

In April 2022, Mechta Sanatorium along with Lesnaya Skazka and the Vega social and health centre received approximately 90 children from Ukraine.",56.123455,47.012514," Chuvash Republic   Cheboksary district, Vurmankasy village.",['sources84'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022 
Province: Chuvash Republic 
Country/Town/Village: Vurmankasy 

In April 2022, Vega social and health centre, along with Mechta Sanatorium and Lesnaya Skazka received approximately 90 children from Ukraine. This camp is better indexed by [Yandex](https://yandex.com/profile/144436993181?no-distribution=1&source=wizbiz_new_map_single).",56.117721,46.993433, Chuvash Republic   Vurmankasy ,['sources85'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022 
Province: Chuvash Republic 
Country/Town/Village: Shomikovo village, Morgaushsky district,

 In April 2022, Lesnaya Skazka, along with Mechta Sanatorium and the Vega social and health centre received approximately 90 children from Ukraine.",56.109494,46.923292," Chuvash Republic   Shomikovo village, Morgaushsky district,",['sources83'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022 
Province: Kabardino-Balkarian Republic 
Country/Town/Village: Nalchik 

In April 2022, 35 children were taken  to the ""Raduga"" (Радуга) sanatorium.",43.4504,43.579215, Kabardino-Balkarian Republic   Nalchik ,['sources57'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022
City/ Town/ Village:Bezimenne

Reported ""Filtration camp"" used to process Ukrainians from Mariupol.",47.107157,37.938703,,['sources94'],00:00,,POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022
City/ Town/ Village:Bezimenne


Reported ""Filtration camp"" used to process Ukrainians from Mariupol.",47.107157,37.938703,"city of Sumy, Sumy region ","['https://www.rferl.org/a/russian-war-crimes-ukraine-un-commission/32048054.html','https://www.rferl.org/a/russian-war-crimes-ukraine-un-commission/32048054.html','https://www.rferl.org/a/russian-war-crimes-ukraine-un-commission/32048054.html','https://www.rferl.org/a/russian-war-crimes-ukraine-un-commission/32048054.html']",00:00:00,"Written by Vasile, 11 Dec 2023",POW and Internment camps,
2022-04-05,"Date of discovery: 05 April 2022 
Province: Donetsk Oblast
City/Town/Village: Dokuchayevsk

House of Culture and Leisure used as holding facility for Ukrainian civilians from Mariupol awaiting registration as part of the ""filtration"" process (which could take place in the same location). Witnesses describe overcrowded and unsanitary conditions.",47.746036,37.676811, Donetsk Oblast  Dokuchayevsk,['sources30'],00:00,,POW and Internment camps,
2022-04-07,"Date of discovery : 07 April 2022
Province: Lunahsk Oblast
City/Town/Village: Luhansk

Izvestiya reported that Ukrainian soldiers who had ""voluntarily laid down arms"" were being held in the SIZO [Detention Centre] in Luhansk. Ukrainian independent outlet slidstvo.info noted on 10 June that the site is being used to hold people who have not passed ""filtration"".",48.574063,39.331322, Lunahsk Oblast  Luhansk,['sources34'],00:00,,POW and Internment camps,
2022-04-08,"Date of discovery: 08 April 2022 
Province: Mordovia Oblast
 Country/Town/Village: Saransk  

 35 Mordovskaya Street centre is one of three TACs organised in the region.",54.156603,45.182809, Mordovia Oblast  Saransk  ,['sources78'],00:00,,POW and Internment camps,
2022-04-08,"Date of discovery: 08 April 2022 
Province: Mordovia Oblast 
Country/Town/Village: Kovylkinsky district  

22 Proletarskaya Street centre is one of three TACs organised in the region.",54.03873,43.911125, Mordovia Oblast   Kovylkinsky district  ,['sources76'],00:00,,POW and Internment camps,
2022-04-08,"Date of discovery: 08 April 2022 
Province: Mordovia Oblast 
Country/Town/Village: Kovylkinsky district  

[GBSU SOSSZN RM Volgapinsky Boarding House of Mercy](https://spark-interfax.ru/mordoviya-respublika-kovylkinski-raion/gbu-volgapinski-dom-internat-miloserdiya-inn-1312090481-ogrn-1021300887211-6906d9ac9efa226ae0531b9aa8c04bb6) on 2 Lenina Street centre is one of three TACs organised in the region.",54.157399,43.7716, Mordovia Oblast   Kovylkinsky district  ,['sources77'],00:00,,POW and Internment camps,
2022-04-10,"Date of discovery: 10 April 2022 
Province: Leningrad Oblast 
Country/Town/Village: Tsaritsyno

Lake Tsaritsyno Lake boarding house in the Tikhvin region is identified as a main destination for over 200 children from Mariupol.  [Ria Novosti](https://ria.ru/20220410/bezhentsy-1782756282.html) reports in April 2022 that over 600 refugees from Mariupol, a quarter of whom are children arrived by train in the region and will be taken to Tsaritsyno Lake boarding house. 

The location of the camp is described as being on the shore of the lake.",59.70396,33.496353, Leningrad Oblast   Tsaritsyno,['sources62'],00:00,,POW and Internment camps,
